Date,Open,High,Low,Close,Volume,Adj Close*
25-Jun-14,"16,817.68","16,883.54","16,799.41","16,867.51","73,920,000","16,867.51"
24-Jun-14,"16,934.62","16,969.70","16,805.23","16,818.13","80,220,000","16,818.13"
23-Jun-14,"16,946.50","16,954.27","16,896.09","16,937.26","63,640,000","16,937.26"
20-Jun-14,"16,920.62","16,978.02","16,920.62","16,947.08","247,350,000","16,947.08"
19-Jun-14,"16,909.90","16,923.43","16,858.88","16,921.46","80,220,000","16,921.46"
18-Jun-14,"16,806.12","16,911.41","16,755.29","16,906.62","73,720,000","16,906.62"
17-Jun-14,"16,779.21","16,823.55","16,732.91","16,808.49","63,530,000","16,808.49"
16-Jun-14,"16,765.56","16,802.14","16,722.86","16,781.01","77,900,000","16,781.01"
13-Jun-14,"16,734.64","16,787.89","16,718.60","16,775.74","95,220,000","16,775.74"
12-Jun-14,"16,840.48","16,841.57","16,703.73","16,734.19","72,560,000","16,734.19"
11-Jun-14,"16,943.16","16,943.16","16,821.85","16,843.88","61,860,000","16,843.88"
10-Jun-14,"16,940.40","16,946.34","16,897.44","16,945.92","64,560,000","16,945.92"
9-Jun-14,"16,926.08","16,970.17","16,912.92","16,943.10","67,130,000","16,943.10"
6-Jun-14,"16,839.64","16,924.28","16,839.64","16,924.28","80,530,000","16,924.28"
5-Jun-14,"16,739.14","16,845.81","16,709.95","16,836.11","70,460,000","16,836.11"
4-Jun-14,"16,720.00","16,742.91","16,673.65","16,737.53","65,570,000","16,737.53"
3-Jun-14,"16,736.70","16,736.70","16,690.01","16,722.34","67,830,000","16,722.34"
2-Jun-14,"16,716.85","16,756.64","16,682.07","16,743.63","57,560,000","16,743.63"
30-May-14,"16,697.33","16,721.22","16,648.85","16,717.17","105,190,000","16,717.17"
29-May-14,"16,637.74","16,698.74","16,620.43","16,698.74","55,500,000","16,698.74"
28-May-14,"16,674.98","16,674.98","16,620.22","16,633.18","62,480,000","16,633.18"
27-May-14,"16,607.42","16,688.69","16,607.42","16,675.50","80,870,000","16,675.50"
23-May-14,"16,544.49","16,613.07","16,544.49","16,606.27","61,340,000","16,606.27"
22-May-14,"16,532.74","16,565.39","16,489.61","16,543.08","59,250,000","16,543.08"
21-May-14,"16,376.17","16,544.60","16,376.17","16,533.06","76,730,000","16,533.06"
20-May-14,"16,511.22","16,511.22","16,341.30","16,374.31","75,150,000","16,374.31"
19-May-14,"16,490.35","16,526.26","16,442.12","16,511.86","82,180,000","16,511.86"
16-May-14,"16,447.32","16,498.99","16,414.32","16,491.31","119,330,000","16,491.31"
15-May-14,"16,613.52","16,622.90","16,397.46","16,446.81","106,610,000","16,446.81"
14-May-14,"16,716.08","16,717.56","16,595.00","16,613.97","71,970,000","16,613.97"
13-May-14,"16,695.92","16,735.51","16,695.92","16,715.44","71,340,000","16,715.44"
12-May-14,"16,584.82","16,704.84","16,584.82","16,695.47","71,550,000","16,695.47"
9-May-14,"16,551.23","16,588.77","16,498.71","16,583.34","74,980,000","16,583.34"
8-May-14,"16,518.16","16,622.95","16,502.01","16,550.97","75,620,000","16,550.97"
7-May-14,"16,401.66","16,522.94","16,357.35","16,518.54","93,870,000","16,518.54"
6-May-14,"16,529.85","16,529.85","16,399.99","16,401.02","74,340,000","16,401.02"
5-May-14,"16,509.75","16,547.92","16,377.09","16,530.55","70,320,000","16,530.55"
2-May-14,"16,562.34","16,620.06","16,488.31","16,512.89","78,910,000","16,512.89"
1-May-14,"16,580.26","16,604.79","16,525.25","16,558.87","75,630,000","16,558.87"
30-Apr-14,"16,534.86","16,592.28","16,510.87","16,580.84","92,970,000","16,580.84"
29-Apr-14,"16,451.18","16,559.39","16,451.18","16,535.37","71,240,000","16,535.37"
28-Apr-14,"16,363.20","16,500.37","16,312.66","16,448.74","105,510,000","16,448.74"
25-Apr-14,"16,503.26","16,503.26","16,333.78","16,361.46","90,630,000","16,361.46"
24-Apr-14,"16,503.39","16,541.26","16,452.30","16,501.65","80,340,000","16,501.65"
23-Apr-14,"16,513.73","16,525.99","16,477.28","16,501.65","76,830,000","16,501.65"
22-Apr-14,"16,449.38","16,565.71","16,449.38","16,514.37","84,830,000","16,514.37"
21-Apr-14,"16,408.92","16,459.78","16,402.08","16,449.25","79,500,000","16,449.25"
17-Apr-14,"16,424.14","16,460.49","16,368.14","16,408.54","136,190,000","16,408.54"
16-Apr-14,"16,266.23","16,424.85","16,266.23","16,424.85","94,650,000","16,424.85"
15-Apr-14,"16,173.49","16,272.95","16,063.20","16,262.56","97,850,000","16,262.56"
14-Apr-14,"16,028.29","16,184.76","16,028.29","16,173.24","90,020,000","16,173.24"
11-Apr-14,"16,168.87","16,168.87","16,015.32","16,026.75","119,550,000","16,026.75"
10-Apr-14,"16,437.24","16,456.12","16,153.34","16,170.22","112,550,000","16,170.22"
9-Apr-14,"16,256.37","16,438.82","16,256.37","16,437.18","91,550,000","16,437.18"
8-Apr-14,"16,245.16","16,296.86","16,180.28","16,256.14","98,510,000","16,256.14"
7-Apr-14,"16,414.15","16,421.38","16,244.01","16,245.87","116,540,000","16,245.87"
4-Apr-14,"16,576.02","16,631.63","16,392.77","16,412.71","104,350,000","16,412.71"
3-Apr-14,"16,572.36","16,604.15","16,527.60","16,572.55","77,220,000","16,572.55"
2-Apr-14,"16,532.80","16,588.19","16,506.60","16,573.00","78,120,000","16,573.00"
1-Apr-14,"16,458.05","16,565.73","16,457.60","16,532.61","88,010,000","16,532.61"
31-Mar-14,"16,324.22","16,480.85","16,324.22","16,457.66","104,510,000","16,457.66"
28-Mar-14,"16,267.77","16,414.86","16,267.77","16,323.06","86,370,000","16,323.06"
27-Mar-14,"16,268.67","16,300.94","16,191.79","16,264.23","93,650,000","16,264.23"
26-Mar-14,"16,370.71","16,466.04","16,268.99","16,268.99","92,770,000","16,268.99"
25-Mar-14,"16,279.20","16,407.18","16,279.20","16,367.88","89,110,000","16,367.88"
24-Mar-14,"16,303.28","16,380.51","16,215.56","16,276.69","110,620,000","16,276.69"
21-Mar-14,"16,332.69","16,456.45","16,290.79","16,302.77","353,670,000","16,302.77"
20-Mar-14,"16,221.98","16,353.98","16,160.33","16,331.05","91,530,000","16,331.05"
19-Mar-14,"16,335.71","16,363.32","16,126.29","16,222.17","90,110,000","16,222.17"
18-Mar-14,"16,245.93","16,369.94","16,245.93","16,336.19","79,140,000","16,336.19"
